cedar-af-v2.1.0,cedar-af-v2.0.0
parent_sample_id,parent_id
lab_id,lab_id
preparation_protocol_doi,protocols_io_doi
dataset_type,dataset_type
analyte_class,analyte_class
is_targeted,is_targeted
acquisition_instrument_vendor,acquisition_instrument_vendor
acquisition_instrument_model,acquisition_instrument_model
source_storage_duration_value,source_storage_duration_value
source_storage_duration_unit,source_storage_duration_unit
time_since_acquisition_instrument_calibration_value,time_since_acquisition_instrument_calibration_value
time_since_acquisition_instrument_calibration_unit,time_since_acquisition_instrument_calibration_unit
contributors_path,contributors_path
data_path,data_path
antibodies_path,
is_image_preprocessing_required,is_image_preprocessing_required
slide_id,slide_id
tile_configuration,tile_configuration
scan_direction,scan_direction
tiled_image_columns,tiled_image_columns
tiled_image_count,tiled_image_count
intended_tile_overlap_percentage,intended_tile_overlap_percentage
metadata_schema_id,metadata_schema_id
,principal_investigator
,pi_email
,operator
,operator_email
